City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,-13.47,89,98,5.99,overcast clouds
1,Faanui,PF,-16.4833,-151.75,80.69,74,49,12.86,scattered clouds
2,Barrow,US,71.2906,-156.7887,-14.8,75,1,8.05,clear sky
3,Esperance,AU,-33.8667,121.9,75.2,44,0,24.16,clear sky
4,Mataura,NZ,-46.1927,168.8643,64.99,93,100,1.99,overcast clouds
5,Koumac,NC,-20.5667,164.2833,81.84,80,87,4.29,overcast clouds
6,Kununurra,AU,-15.7667,128.7333,96.8,47,70,8.05,broken clouds
7,Yulara,AU,-25.2406,130.9889,87.8,12,1,14.99,clear sky
8,Qaanaaq,GL,77.484,-69.3632,-6.61,85,100,0.94,overcast clouds
9,Castro,BR,-24.7911,-50.0119,66.25,94,47,6.55,scattered clouds
10,Busselton,AU,-33.65,115.3333,91.0,21,34,11.63,scattered clouds
11,Vung Tau,VN,10.346,107.0843,79.34,79,92,18.77,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,50.0,76,100,4.7,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,76.59,71,94,8.21,overcast clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,66.99,100,90,17.22,moderate rain
15,Aksu,CN,41.1231,80.2644,22.12,77,100,6.46,overcast clouds
16,Hobyo,SO,5.3505,48.5268,79.86,56,99,23.09,overcast clouds
17,Chuy,UY,-33.6971,-53.4616,72.0,89,96,12.08,overcast clouds
18,Ruteng,ID,-8.6136,120.4721,65.91,100,100,0.94,heavy intensity rain
19,Jamestown,US,42.097,-79.2353,30.0,92,90,6.93,overcast clouds
20,Ushuaia,AR,-54.8,-68.3,50.0,76,75,4.7,light rain
21,Yellowknife,CA,62.456,-114.3525,6.01,84,90,19.46,light snow
22,Santa Comba,ES,43.0331,-8.8093,37.0,95,0,5.84,clear sky
23,Kavieng,PG,-2.5744,150.7967,79.12,85,100,7.52,light rain
24,Albany,US,42.6001,-73.9662,28.99,82,94,6.89,overcast clouds
25,Hermanus,ZA,-34.4187,19.2345,73.0,76,86,1.99,overcast clouds
26,Nakusp,CA,50.2499,-117.8023,34.0,100,100,4.7,light snow
27,Port Hardy,CA,50.6996,-127.4199,44.6,87,40,10.29,light rain
28,Beringovskiy,RU,63.05,179.3167,-14.08,85,2,10.89,clear sky
29,Hambantota,LK,6.1241,81.1185,82.4,88,75,9.17,heavy intensity rain
30,New Norfolk,AU,-42.7826,147.0587,59.0,51,40,12.75,scattered clouds
31,Kruisfontein,ZA,-34.0033,24.7314,75.15,59,89,8.72,overcast clouds
32,Hilo,US,19.7297,-155.09,68.0,82,1,5.82,clear sky
33,Peniche,PT,39.3558,-9.3811,45.0,56,6,4.0,clear sky
34,Saldanha,ZA,-33.0117,17.9442,75.2,72,0,17.22,clear sky
35,Port Elizabeth,ZA,-33.918,25.5701,77.0,69,40,13.87,scattered clouds
