City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-01-05 04:05:15,62.46,-114.35,-23.01,74,20,8.05
1,Cabo San Lucas,MX,2021-01-05 04:09:34,22.89,-109.91,64.4,59,5,5.82
2,Hermanus,ZA,2021-01-05 04:09:34,-34.42,19.23,68.0,89,100,11.5
3,Santa Maria,BR,2021-01-05 04:09:34,-29.68,-53.81,73.4,94,40,6.93
4,Khatanga,RU,2021-01-05 04:09:35,71.97,102.5,-9.02,89,94,17.29
5,Hobart,AU,2021-01-05 04:07:48,-42.88,147.33,73.99,52,40,12.75
6,Rawson,AR,2021-01-05 04:09:35,-43.3,-65.1,58.69,68,0,9.84
7,Maltahohe,NA,2021-01-05 04:09:35,-24.83,16.98,66.92,69,59,7.65
8,Caraquet,CA,2021-01-05 04:09:36,47.79,-64.94,23.0,92,65,4.7
9,Tuktoyaktuk,CA,2021-01-05 04:09:36,69.45,-133.04,-14.8,75,90,12.75
10,Lagoa,PT,2021-01-05 04:09:36,39.05,-27.98,60.84,81,96,26.49
11,Hambantota,LK,2021-01-05 04:09:37,6.12,81.12,77.0,100,75,2.24
12,Punta Arenas,CL,2021-01-05 04:08:02,-53.15,-70.92,51.8,57,44,9.17
13,Mataura,NZ,2021-01-05 04:09:37,-46.19,168.86,58.37,87,100,0.89
14,Arraial Do Cabo,BR,2021-01-05 04:06:40,-22.97,-42.03,73.4,94,0,5.82
15,Bluff,NZ,2021-01-05 04:09:38,-46.6,168.33,55.22,90,99,3.18
16,Hua Hin,TH,2021-01-05 04:06:13,12.57,99.96,84.2,48,20,9.17
17,Eskhar,UA,2021-01-05 04:09:38,49.8,36.59,32.0,96,90,15.66
18,Butaritari,KI,2021-01-05 04:09:39,3.07,172.79,82.17,77,100,18.7
19,Lebanon,US,2021-01-05 04:08:29,36.21,-86.29,46.99,81,40,4.7
20,Bambous Virieux,MU,2021-01-05 04:09:39,-20.34,57.76,81.0,78,40,6.93
21,Luderitz,NA,2021-01-05 04:09:39,-26.65,15.16,68.0,88,57,5.82
22,Hay River,CA,2021-01-05 04:09:40,60.82,-115.8,-23.8,74,97,2.24
23,Moyale,KE,2021-01-05 04:09:40,3.52,39.06,67.41,58,34,3.56
24,San Patricio,US,2021-01-05 04:09:40,28.02,-97.52,59.0,100,40,3.36
25,Nikolskoye,RU,2021-01-05 04:09:41,59.7,30.79,27.0,85,40,2.24
26,Vestmannaeyjar,IS,2021-01-05 04:09:41,63.44,-20.27,38.12,95,100,3.24
27,Kodiak,US,2021-01-05 04:09:41,57.79,-152.41,33.8,96,90,8.05
28,Thompson,CA,2021-01-05 04:09:42,55.74,-97.86,-5.8,83,75,3.69
29,Nabire,ID,2021-01-05 04:09:42,-3.37,135.48,84.69,75,68,4.41
30,Airai,TL,2021-01-05 04:09:42,-8.93,125.41,71.85,85,97,3.36
31,Ponta Do Sol,PT,2021-01-05 04:09:42,32.67,-17.1,64.4,72,40,5.82
32,Port Alfred,ZA,2021-01-05 04:09:43,-33.59,26.89,73.99,95,74,3.0
33,Tallahassee,US,2021-01-05 04:05:07,30.44,-84.28,44.01,93,1,2.64
34,Saint George,US,2021-01-05 04:05:47,37.1,-113.58,46.0,36,1,8.05
35,Busselton,AU,2021-01-05 04:09:43,-33.65,115.33,82.99,35,0,5.01
36,Rincon,US,2021-01-05 04:09:44,32.3,-81.24,44.6,81,1,4.38
37,Upernavik,GL,2021-01-05 04:09:44,72.79,-56.15,18.54,88,100,35.34
38,Hilo,US,2021-01-05 04:09:44,19.73,-155.09,77.0,69,90,6.93
39,Yeppoon,AU,2021-01-05 04:09:44,-23.13,150.73,89.6,49,75,6.93
40,North Bend,US,2021-01-05 04:05:07,43.41,-124.22,48.99,93,75,6.93
41,Katsuura,JP,2021-01-05 04:09:45,35.13,140.3,51.01,47,100,3.0
42,Ferkessedougou,CI,2021-01-05 04:09:45,9.6,-5.2,73.71,35,1,3.6
43,Mount Isa,AU,2021-01-05 04:08:43,-20.73,139.5,96.8,30,40,12.75
44,Avarua,CK,2021-01-05 04:09:46,-21.21,-159.78,82.4,69,29,14.99
45,Rikitea,PF,2021-01-05 04:09:46,-23.12,-134.97,77.07,71,1,17.31
46,Lazaro Cardenas,MX,2021-01-05 04:09:32,17.96,-102.2,74.25,80,0,4.38
47,Corinto,GR,2021-01-05 04:09:46,37.94,22.96,50.0,67,24,6.02
48,Ribeira Grande,PT,2021-01-05 04:09:47,38.52,-28.7,61.81,85,100,28.01
49,Shingu,JP,2021-01-05 04:09:47,33.73,135.98,46.4,45,75,12.75
50,Honningsvag,NO,2021-01-05 04:09:47,70.98,25.97,39.2,79,75,11.41
51,Dikson,RU,2021-01-05 04:09:47,73.51,80.55,2.88,94,100,25.93
52,Pisco,PE,2021-01-05 04:09:48,-13.7,-76.22,69.8,88,0,10.29
53,Ariquemes,BR,2021-01-05 04:09:48,-9.91,-63.04,72.39,92,100,1.81
54,Ushuaia,AR,2021-01-05 04:09:48,-54.8,-68.3,51.8,53,75,3.36
55,Severo-Kurilsk,RU,2021-01-05 04:09:49,50.68,156.12,19.87,91,76,22.95
56,Matanzas,CU,2021-01-05 04:09:49,23.04,-81.58,73.4,88,40,11.41
57,Boa Vista,BR,2021-01-05 04:09:49,2.82,-60.67,78.8,78,40,2.24
58,Mildura,AU,2021-01-05 04:09:49,-34.2,142.15,78.01,44,75,11.41
59,Antofagasta,CL,2021-01-05 04:04:58,-23.65,-70.4,66.2,82,75,6.93
60,Eyl,SO,2021-01-05 04:09:50,7.98,49.82,73.04,65,58,17.02
61,Ketchikan,US,2021-01-05 04:09:50,55.34,-131.65,39.2,86,90,28.86
62,Chokurdakh,RU,2021-01-05 04:09:51,70.63,147.92,-25.11,85,55,11.36
63,Bredasdorp,ZA,2021-01-05 04:09:51,-34.53,20.04,69.8,83,100,8.05
64,Bathsheba,BB,2021-01-05 04:09:51,13.22,-59.52,78.8,69,40,17.22
65,Kapaa,US,2021-01-05 04:09:51,22.08,-159.32,75.2,78,40,10.29
66,Coahuayana,MX,2021-01-05 04:09:52,18.73,-103.68,73.4,73,5,3.47
67,Batticaloa,LK,2021-01-05 04:09:08,7.71,81.69,79.61,82,96,4.07
68,Katangli,RU,2021-01-05 04:09:52,51.71,143.23,-5.91,87,100,12.01
69,Ulladulla,AU,2021-01-05 04:09:52,-35.35,150.47,82.4,54,32,3.36
70,Castro,BR,2021-01-05 04:09:53,-24.79,-50.01,60.58,97,73,4.79
71,Mar Del Plata,AR,2021-01-05 04:08:43,-38.0,-57.56,66.99,100,90,13.87
72,Tezu,IN,2021-01-05 04:09:53,27.92,96.17,75.63,22,5,3.02
73,Barrow,US,2021-01-05 04:09:53,71.29,-156.79,-18.4,91,90,4.7
74,Geraldton,AU,2021-01-05 04:09:54,-28.77,114.6,95.0,19,0,28.86
75,Ambilobe,MG,2021-01-05 04:09:54,-13.2,49.05,77.22,84,1,1.68
76,Tual,ID,2021-01-05 04:08:57,-5.67,132.75,81.57,80,100,15.14
77,Mayumba,GA,2021-01-05 04:09:54,-3.43,10.66,77.11,86,96,4.34
78,Atuona,PF,2021-01-05 04:09:55,-9.8,-139.03,78.44,77,93,16.73
79,Hirara,JP,2021-01-05 04:09:55,24.8,125.28,69.8,88,75,18.34
80,Lebu,CL,2021-01-05 04:09:55,-37.62,-73.65,55.33,82,0,18.95
81,Oriximina,BR,2021-01-05 04:09:56,-1.77,-55.87,76.5,84,98,2.1
82,Ishigaki,JP,2021-01-05 04:08:13,24.34,124.16,69.8,88,75,21.92
83,Cape Town,ZA,2021-01-05 04:09:56,-33.93,18.42,69.01,93,75,20.8
84,Langsa,ID,2021-01-05 04:08:32,4.47,97.97,86.04,64,61,4.43
85,Ancud,CL,2021-01-05 04:09:57,-41.87,-73.82,53.01,71,0,11.41
86,Makakilo City,US,2021-01-05 04:09:57,21.35,-158.09,80.6,57,75,5.82
87,Saint Anthony,US,2021-01-05 04:09:58,45.02,-93.22,32.0,80,1,8.05
88,Billings,US,2021-01-05 04:07:13,45.78,-108.5,41.0,27,75,6.93
89,Santiago,CL,2021-01-05 04:05:13,-33.46,-70.65,64.4,34,0,10.29
90,Port Hedland,AU,2021-01-05 04:09:58,-20.32,118.57,96.8,30,34,17.22
91,Guerrero Negro,MX,2021-01-05 04:09:59,27.98,-114.06,59.14,78,41,10.27
92,Bodhan,IN,2021-01-05 04:09:59,18.67,77.9,72.91,58,79,3.29
93,Chuy,UY,2021-01-05 04:10:00,-33.7,-53.46,69.71,88,82,10.16
94,Qaanaaq,GL,2021-01-05 04:10:00,77.48,-69.36,-4.22,74,77,4.9
95,Carnarvon,AU,2021-01-05 04:10:00,-24.87,113.63,89.6,46,0,12.75
96,Simav,TR,2021-01-05 04:10:01,39.09,28.98,44.02,86,84,6.82
97,Svetlogorsk,BY,2021-01-05 04:10:01,52.63,29.73,30.94,98,99,10.02
98,Saint-Philippe,RE,2021-01-05 04:10:01,-21.36,55.77,78.8,74,90,11.41
99,Saskylakh,RU,2021-01-05 04:10:02,71.92,114.08,0.05,91,100,14.43
100,Zhigalovo,RU,2021-01-05 04:10:02,54.81,105.16,-27.11,80,100,4.25
101,Torbay,CA,2021-01-05 04:05:19,47.67,-52.73,33.01,100,90,16.11
102,Pevek,RU,2021-01-05 04:10:03,69.7,170.31,-15.14,89,100,8.05
103,Pokrovsk,UA,2021-01-05 04:10:03,48.28,37.18,30.51,96,100,13.49
104,Hasaki,JP,2021-01-05 04:10:04,35.73,140.83,50.0,70,75,4.7
105,Muros,ES,2021-01-05 04:10:04,42.78,-9.06,32.0,96,8,7.07
106,Tasiilaq,GL,2021-01-05 04:10:04,65.61,-37.64,17.6,57,1,2.24
107,Santa Barbara,US,2021-01-05 04:05:39,34.73,-120.03,54.0,87,1,12.75
108,Padang,ID,2021-01-05 04:06:52,-0.95,100.35,89.6,55,20,6.93
109,Batemans Bay,AU,2021-01-05 04:10:05,-35.72,150.18,80.01,75,83,3.0
110,Carbonia,IT,2021-01-05 04:10:06,39.17,8.52,44.6,81,75,5.82
111,Hobyo,SO,2021-01-05 04:10:06,5.35,48.53,76.44,68,100,19.57
112,Sawakin,SD,2021-01-05 04:10:06,19.11,37.33,76.6,78,88,4.45
113,Vondrozo,MG,2021-01-05 04:10:06,-22.82,47.28,67.86,94,7,1.36
114,Sohag,EG,2021-01-05 04:10:07,26.56,31.69,48.2,93,7,4.7
115,Kaitangata,NZ,2021-01-05 04:10:07,-46.28,169.85,57.99,88,100,1.99
116,Comodoro Rivadavia,AR,2021-01-05 04:05:21,-45.87,-67.5,57.2,62,0,8.05
117,Ixtapa,MX,2021-01-05 04:10:07,20.7,-105.2,68.0,88,5,2.24
118,Yar-Sale,RU,2021-01-05 04:10:08,66.83,70.83,-14.42,88,2,12.91
119,Flinders,AU,2021-01-05 04:10:08,-34.58,150.86,81.0,75,33,3.0
120,Faanui,PF,2021-01-05 04:10:08,-16.48,-151.75,81.12,74,100,16.31
121,Klaksvik,FO,2021-01-05 04:10:09,62.23,-6.59,39.2,100,90,7.05
122,Tiksi,RU,2021-01-05 04:10:09,71.69,128.87,-13.97,89,99,10.58
123,Nanortalik,GL,2021-01-05 04:10:09,60.14,-45.24,28.04,97,99,8.28
124,Nishihara,JP,2021-01-05 04:10:09,26.18,127.76,66.2,77,90,14.99
125,Salalah,OM,2021-01-05 04:10:10,17.02,54.09,68.0,42,20,10.29
126,Namatanai,PG,2021-01-05 04:10:10,-3.67,152.43,86.34,62,27,8.08
127,Cayenne,GF,2021-01-05 04:10:10,4.93,-52.33,75.2,100,0,9.19
128,Inirida,CO,2021-01-05 04:10:10,3.87,-67.92,72.73,96,36,1.79
129,Asyut,EG,2021-01-05 04:10:11,27.18,31.18,44.6,75,0,5.44
130,Talnakh,RU,2021-01-05 04:07:02,69.49,88.4,-13.0,75,90,17.9
131,Vardo,NO,2021-01-05 04:10:11,70.37,31.11,28.4,86,75,13.87
132,Patti,IN,2021-01-05 04:10:12,31.28,74.86,60.8,87,75,8.34
133,Kruisfontein,ZA,2021-01-05 04:10:12,-34.0,24.73,71.01,95,98,4.0
134,Albany,US,2021-01-05 04:06:48,42.6,-73.97,34.0,87,97,2.48
135,Aklavik,CA,2021-01-05 04:10:12,68.22,-135.01,-11.2,76,100,5.82
136,Norman Wells,CA,2021-01-05 04:10:13,65.28,-126.83,-7.6,63,20,17.22
137,Iskenderun,TR,2021-01-05 04:06:05,36.59,36.17,46.4,65,20,4.7
138,Lompoc,US,2021-01-05 04:10:13,34.64,-120.46,55.99,93,90,4.7
139,New Norfolk,AU,2021-01-05 04:10:13,-42.78,147.06,75.0,38,79,1.01
140,Bethel,US,2021-01-05 04:10:14,41.37,-73.41,30.99,94,90,3.62
141,Longyearbyen,SJ,2021-01-05 04:10:14,78.22,15.64,30.2,86,90,46.08
142,Codrington,AU,2021-01-05 04:10:14,-38.27,141.97,58.84,83,100,17.09
143,Scotts Valley,US,2021-01-05 04:10:14,37.05,-122.01,50.0,98,12,2.91
144,Naze,JP,2021-01-05 04:07:21,28.37,129.48,64.4,88,75,19.46
145,Buta,CD,2021-01-05 04:10:15,2.79,24.73,68.7,95,94,1.63
146,Trinidad,BO,2021-01-05 04:10:15,-14.83,-64.9,75.54,90,100,3.49
147,Rafai,CF,2021-01-05 04:10:15,4.95,23.92,67.95,57,53,1.1
148,Mahebourg,MU,2021-01-05 04:10:16,-20.41,57.7,77.0,78,40,6.93
149,Baykit,RU,2021-01-05 04:10:16,61.67,96.37,-14.89,84,100,3.51
150,Rodrigues Alves,BR,2021-01-05 04:10:16,-7.74,-72.65,74.12,97,100,1.97
151,Sisimiut,GL,2021-01-05 04:10:17,66.94,-53.67,12.67,94,100,7.56
152,Victoria,HK,2021-01-05 04:06:15,22.29,114.16,69.01,47,17,1.01
153,Camacha,PT,2021-01-05 04:10:17,33.08,-16.33,64.4,77,40,10.29
154,Sandy Bay,AU,2021-01-05 04:10:17,-42.91,147.35,73.99,52,40,12.75
155,Deputatskiy,RU,2021-01-05 04:10:18,69.3,139.9,-29.22,84,31,5.7
156,Morondava,MG,2021-01-05 04:10:18,-20.28,44.28,81.09,77,59,4.99
157,Rancho Palos Verdes,US,2021-01-05 04:07:56,33.74,-118.39,57.99,94,57,1.99
158,East London,ZA,2021-01-05 04:08:29,-33.02,27.91,71.6,94,0,5.82
159,Rocha,UY,2021-01-05 04:10:19,-34.48,-54.33,67.46,92,69,9.57
160,Puerto Ayora,EC,2021-01-05 04:10:19,-0.74,-90.35,71.01,91,45,7.85
161,Jamestown,US,2021-01-05 04:05:58,42.1,-79.24,32.0,100,90,3.36
162,Mareeba,AU,2021-01-05 04:10:20,-17.0,145.43,87.01,92,80,1.01
163,Ilulissat,GL,2021-01-05 04:10:20,69.22,-51.1,8.64,94,99,2.71
164,Orlik,RU,2021-01-05 04:10:20,52.52,99.83,-26.37,72,93,4.12
165,Wattegama,LK,2021-01-05 04:10:21,6.8,81.48,77.0,100,75,2.24
166,Sinnamary,GF,2021-01-05 04:10:21,5.38,-52.95,77.58,86,69,9.01
167,El Vigia,VE,2021-01-05 04:10:21,8.62,-71.65,73.4,77,40,2.3
168,Truro,GB,2021-01-05 04:10:21,50.27,-5.05,36.0,80,50,14.99
169,Labuhan,ID,2021-01-05 04:10:22,-6.88,112.21,82.2,80,98,9.24
170,Mbandaka,CD,2021-01-05 04:10:22,0.05,18.26,70.92,93,97,3.76
171,Vaini,TO,2021-01-05 04:10:22,-21.2,-175.2,82.4,83,75,13.87
172,Solnechnyy,RU,2021-01-05 04:10:22,50.72,136.63,-9.67,82,87,2.68
173,Rwamagana,RW,2021-01-05 04:10:23,-1.95,30.43,60.8,87,40,3.36
174,Priargunsk,RU,2021-01-05 04:10:23,50.37,119.1,-17.75,86,98,3.06
175,Roald,NO,2021-01-05 04:10:23,62.58,6.13,30.0,74,86,6.93
176,Qasigiannguit,GL,2021-01-05 04:10:23,68.82,-51.19,5.72,93,84,1.5
177,Noumea,NC,2021-01-05 04:10:24,-22.28,166.46,91.4,66,85,3.36
178,Traismauer,AT,2021-01-05 04:10:24,48.35,15.76,37.99,99,99,3.62
179,Oktyabrskiy,RU,2021-01-05 04:10:24,54.48,53.47,13.69,96,100,6.78
180,Isangel,VU,2021-01-05 04:10:24,-19.55,169.27,82.4,83,90,6.93
181,Beloha,MG,2021-01-05 04:10:25,-25.17,45.05,79.99,59,19,4.68
182,Sola,VU,2021-01-05 04:10:25,-13.88,167.55,84.2,83,75,9.24
183,Lavrentiya,RU,2021-01-05 04:10:25,65.58,-171.0,-7.55,88,13,9.93
184,Magistralnyy,RU,2021-01-05 04:10:26,56.17,107.45,-24.25,81,100,1.32
185,Goderich,CA,2021-01-05 04:10:26,43.75,-81.72,33.8,74,100,9.17
186,Te Anau,NZ,2021-01-05 04:10:27,-45.42,167.72,55.94,83,93,4.27
187,Mnogovershinnyy,RU,2021-01-05 04:10:27,53.94,139.92,-15.45,89,100,7.63
